m,r,time_s,status
4,63,0.654388427734375,ok
0,9,0.0015332698822021484,ok
1,9,0.028639793395996094,ok
3,27,0.27347278594970703,ok
1,9,0.022375106811523438,ok
5,9,12.000133514404297,timeout
2,567,0.0923764705657959,ok
2,189,0.1860368251800537,ok
0,9,0.0013530254364013672,ok
1,27,0.04319500923156738,ok
0,1,0.0013744831085205078,ok
1,81,0.021960020065307617,ok
1,3,0.024274349212646484,ok
5,189,2.5643820762634277,ok
5,567,12.000343799591064,timeout
5,27,6.5367066860198975,ok
1,1,0.04498124122619629,ok
2,27,0.19142937660217285,ok
0,81,0.0014955997467041016,ok
0,15309,0.001348733901977539,ok
0,729,0.0013201236724853516,ok
0,1,0.0011472702026367188,ok
1,21,0.024905920028686523,ok
0,3,0.0015795230865478516,ok
2,15,0.04199647903442383,ok
3,1361367,0.10125279426574707,ok
4,27,1.3936707973480225,ok
3,1701,2.212480306625366,ok
2,27,0.11813664436340332,ok
1,9,0.026287317276000977,ok
1,189,0.027411937713623047,ok
1,9,0.05622243881225586,ok
0,9,0.001207590103149414,ok
0,27,0.0010976791381835938,ok
3,1701,0.0753483772277832,ok
3,3,0.30481910705566406,ok
3,567,0.24874544143676758,ok
0,81,0.0013718605041503906,ok
1,1701,0.02222919464111328,ok
4,81,0.3908069133758545,ok
3,5103,1.1431794166564941,ok
1,15309,0.019562959671020508,ok
5,441,4.944019794464111,ok
3,5103,0.3459339141845703,ok
0,3,0.0013782978057861328,ok
1,1,0.04653310775756836,ok
1,3,0.09179973602294922,ok
2,9,0.049318552017211914,ok
2,27,0.13374900817871094,ok
1,729,0.02677130699157715,ok
2,2187,0.043476104736328125,ok
3,9,0.7374680042266846,ok
1,27,0.02766108512878418,ok
2,1701,0.053411006927490234,ok
0,1,0.001428842544555664,ok
5,189,7.100559234619141,ok
2,9,0.05535459518432617,ok
1,21,0.04940009117126465,ok
2,567,0.05153989791870117,ok
3,5103,0.3639717102050781,ok
1,27,0.04609370231628418,ok
4,27,0.5551130771636963,ok
3,7,0.0805363655090332,ok
1,81,0.0462489128112793,ok
2,567,0.03475308418273926,ok
1,243,0.026927709579467773,ok
0,9,0.0014576911926269531,ok
2,189,0.09639549255371094,ok
1,27,0.025600433349609375,ok
3,27,0.18788909912109375,ok
2,9,0.1784839630126953,ok
1,27,0.030734539031982422,ok
3,59535,0.14754581451416016,ok
0,9,0.0015411376953125,ok
1,27,0.028198719024658203,ok
1,3,0.05425214767456055,ok
1,243,0.029929399490356445,ok
2,1,0.09896063804626465,ok
4,76545,0.16400575637817383,ok
2,9,0.08819127082824707,ok
7,8505,12.053491830825806,timeout
1,63,0.03634452819824219,ok
1,9,0.02544403076171875,ok
1,9,0.022822141647338867,ok
1,189,0.02706289291381836,ok
1,1,0.023570775985717773,ok
0,21,0.001661062240600586,ok
3,2187,0.40100717544555664,ok
3,81,0.19454288482666016,ok
4,81,0.43116259574890137,ok
0,27,0.0014586448669433594,ok
1,1,0.026273488998413086,ok
5,15309,2.4606401920318604,ok
0,3,0.00147247314453125,ok
3,729,0.5177578926086426,ok
1,9,0.026140213012695312,ok
3,7,0.9122679233551025,ok
3,1,0.2989027500152588,ok
2,567,0.1289052963256836,ok
5,1323,12.000125169754028,timeout
3,21,0.053604841232299805,ok
0,1,0.0015060901641845703,ok
0,1,0.0013141632080078125,ok
1,9,0.0254824161529541,ok
3,243,1.5873034000396729,ok
3,567,0.12070369720458984,ok
2,81,0.12084412574768066,ok
4,9,1.2050769329071045,ok
0,147,0.0022721290588378906,ok
0,9,0.0013208389282226562,ok
3,9,6.673050403594971,ok
1,9,0.02565932273864746,ok
1,243,0.02273106575012207,ok
1,5103,0.03838515281677246,ok
4,49,0.48654651641845703,ok
0,9,0.0015943050384521484,ok
3,7,0.43451356887817383,ok
2,3,0.19678544998168945,ok
0,9,0.0013759136199951172,ok
3,7,0.345827579498291,ok
3,189,0.2741842269897461,ok
3,1701,0.756798505783081,ok
3,81,0.2375319004058838,ok
0,27,0.0015118122100830078,ok
0,3,0.0011954307556152344,ok
1,81,0.02435159683227539,ok
2,243,0.1805286407470703,ok
2,243,0.23330068588256836,ok
1,81,0.02530050277709961,ok
2,9,0.45943593978881836,ok
0,9,0.0012636184692382812,ok
3,25515,0.2654905319213867,ok
2,567,0.08962130546569824,ok
2,27,0.25870585441589355,ok
3,3,0.15365910530090332,ok
1,15309,0.041742801666259766,ok
2,9,0.15048956871032715,ok
2,9,0.09375548362731934,ok
2,1701,0.0931558609008789,ok
3,729,4.926477909088135,ok
1,3,0.025404930114746094,ok
0,1,0.0013921260833740234,ok
2,27,0.05591320991516113,ok
2,3,0.0649251937866211,ok
3,1,0.9811828136444092,ok
6,83349,0.33331823348999023,ok
3,1,0.28861451148986816,ok
0,81,0.0013878345489501953,ok
0,1,0.0011532306671142578,ok
2,81,0.04537034034729004,ok
0,3,0.005476713180541992,ok
0,27,0.0011432170867919922,ok
1,9,0.020238876342773438,ok
2,27,0.08083510398864746,ok
1,729,0.02534008026123047,ok
3,19845,0.2357769012451172,ok
0,567,0.0015866756439208984,ok
1,27,0.029324769973754883,ok
2,729,0.10682821273803711,ok
2,729,0.20890450477600098,ok
6,77175,12.000086307525635,timeout
0,9,0.0016553401947021484,ok
1,81,0.02761387825012207,ok
3,1,0.19811439514160156,ok
3,729,0.2620580196380615,ok
3,1701,1.9125518798828125,ok
4,81,0.6261847019195557,ok
4,15309,0.5494873523712158,ok
0,1,0.0014758110046386719,ok
2,9,0.08974981307983398,ok
3,81,0.36833786964416504,ok
2,567,0.07636642456054688,ok
1,5103,0.012300491333007812,ok
0,3,0.0016815662384033203,ok
4,27,0.7663204669952393,ok
1,3,0.04803776741027832,ok
0,27,0.001373291015625,ok
1,9,0.02729940414428711,ok
2,15,0.12106704711914062,ok
7,15309,6.566188335418701,ok
2,321489,0.0444486141204834,ok
7,5103,12.000158309936523,timeout
3,243,0.17950153350830078,ok
2,567,0.10861802101135254,ok
5,9,12.000089168548584,timeout
1,81,0.027786970138549805,ok
2,189,0.053503990173339844,ok
0,1,0.0015435218811035156,ok
0,1,0.00135040283203125,ok
0,9,0.0012977123260498047,ok
1,63,0.026586294174194336,ok
1,9,0.04059314727783203,ok
0,1,0.0012764930725097656,ok
7,1701,12.000237464904785,timeout
4,178605,1.024592638015747,ok
1,189,0.022582530975341797,ok
1,1,0.02181220054626465,ok
2,27,0.2756359577178955,ok
3,1,0.10436487197875977,ok
4,9,9.771476030349731,ok
4,15309,0.08825922012329102,ok
3,25515,0.3826003074645996,ok
0,9,0.0014979839324951172,ok
3,27,0.10555410385131836,ok
7,964467,12.000412225723267,timeout
1,3969,0.05108475685119629,ok
2,27,0.052376747131347656,ok
4,1,8.923588752746582,ok
5,81,1.8114774227142334,ok
1,81,0.026584625244140625,ok
3,7,0.4178183078765869,ok
2,567,0.23659682273864746,ok
4,567,2.5848991870880127,ok
0,63,0.002063751220703125,ok
1,3,0.0315248966217041,ok
0,27,0.0017240047454833984,ok
6,405,3.6233646869659424,ok
2,1,0.20072174072265625,ok
4,5103,0.1423501968383789,ok
0,1,0.0031261444091796875,ok
2,567,0.05032944679260254,ok
2,9,0.16267800331115723,ok
3,21609,0.06690311431884766,ok
4,63,0.5938050746917725,ok
2,5103,0.10916543006896973,ok
1,3,0.04599642753601074,ok
2,567,0.04036521911621094,ok
0,9,0.0015659332275390625,ok
0,567,0.0013499259948730469,ok
0,1,0.0011975765228271484,ok
2,243,0.2185349464416504,ok
3,27,0.11692929267883301,ok
2,27,0.30198216438293457,ok
2,567,0.30382466316223145,ok
3,107163,0.2557950019836426,ok
0,1,0.0014369487762451172,ok
1,27,0.04509377479553223,ok
0,1,0.0012094974517822266,ok
2,3,0.3237788677215576,ok
0,567,0.001455068588256836,ok
1,81,0.024799585342407227,ok
2,9,0.1109619140625,ok
5,27,0.5868046283721924,ok
1,45927,0.02911996841430664,ok
3,27,0.1100161075592041,ok
3,9,0.07825112342834473,ok
1,243,0.09460234642028809,ok
3,9,1.260530948638916,ok
1,3,0.027768611907958984,ok
0,1,0.0016696453094482422,ok
3,21,0.13175630569458008,ok
6,49,12.0176682472229,timeout
3,9,1.0091378688812256,ok
4,5103,0.10575294494628906,ok
3,35721,0.16879916191101074,ok
5,5103,1.0113446712493896,ok
1,189,0.029840946197509766,ok
0,9,0.0015518665313720703,ok
3,243,0.42156505584716797,ok
2,243,0.10862302780151367,ok
5,1701,1.673191785812378,ok
2,5103,0.05182909965515137,ok
1,21,0.034148454666137695,ok
2,63,0.20280122756958008,ok
1,9,0.12024641036987305,ok
4,147,0.30829906463623047,ok
1,189,0.024070024490356445,ok
1,189,0.024146556854248047,ok
3,27,0.19397735595703125,ok
0,27,0.0014884471893310547,ok
2,567,0.07616209983825684,ok
1,5103,0.02555704116821289,ok
0,27,0.0014770030975341797,ok
1,27,0.02695608139038086,ok
0,9,0.0014522075653076172,ok
3,135,0.06612014770507812,ok
1,9,0.02358555793762207,ok
2,1,0.24956846237182617,ok
0,27,0.0013570785522460938,ok
4,1701,0.6487529277801514,ok
2,1701,0.05210471153259277,ok
4,405,0.4651973247528076,ok
2,27,0.4765965938568115,ok
5,1323,12.000192880630493,timeout
5,729,12.000130891799927,timeout
1,3969,0.029527902603149414,ok
0,7,0.0013957023620605469,ok
4,729,3.257117986679077,ok
1,567,0.048691511154174805,ok
3,3,0.35201048851013184,ok
2,567,0.1930832862854004,ok
1,63,0.023833751678466797,ok
3,63,0.3762807846069336,ok
0,6561,0.0017070770263671875,ok
3,21,0.07008147239685059,ok
3,9,0.06315827369689941,ok
1,137781,0.02232217788696289,ok
1,9,0.025960922241210938,ok
2,63,0.06627249717712402,ok
3,1701,0.12844014167785645,ok
2,3,0.10353970527648926,ok
4,567,0.6143887042999268,ok
1,9,0.052163124084472656,ok
0,1,0.0011966228485107422,ok
4,63,1.1976046562194824,ok
0,9,0.0014495849609375,ok
0,27,0.001615285873413086,ok
2,3,0.09678530693054199,ok
3,9,0.14394855499267578,ok
6,21,12.000349760055542,timeout
3,9,0.48334264755249023,ok
2,243,0.253420352935791,ok
1,7,0.025427579879760742,ok
1,567,0.022930145263671875,ok
2,1,0.0883946418762207,ok
1,1701,0.031340599060058594,ok
0,1,0.0014309883117675781,ok
3,1701,1.0201246738433838,ok
2,243,0.07225942611694336,ok
0,3,0.0012409687042236328,ok
1,3,0.04354381561279297,ok
2,1323,0.033699989318847656,ok
3,1,0.24901247024536133,ok
0,3,0.0012271404266357422,ok
0,1,0.0012364387512207031,ok
4,7,12.001693964004517,timeout
4,45927,0.3505363464355469,ok
1,9,0.028482437133789062,ok
3,3,0.4411885738372803,ok
3,81,0.18720579147338867,ok
5,25515,12.000155925750732,timeout
